# Function Index Mapping
# Format: new_index | original_line | expression
#======================================================================

  0 | Line   0 | sqrt(x) + x
  1 | Line   1 | exp(pow(x,x))
  2 | Line   2 | x*exp(-x)
  3 | Line   3 | Abs(log(x))
  4 | Line   4 | pow(x,(2*x))
  5 | Line   5 | exp(exp(x**2))
  6 | Line   6 | exp(log(x)**2)
  7 | Line   7 | log(x**4)
  8 | Line   8 | pow(x,(x**2))
  9 | Line   9 | a0 + x**2
 10 | Line  10 | pow(Abs(a0),(x/2))
 11 | Line  12 | a0 + sqrt(x)
 12 | Line  13 | exp(x**2)
 13 | Line  15 | log(x*Abs(1/a0))
 14 | Line  16 | x + exp(x)
 15 | Line  17 | exp(x**4)
 16 | Line  18 | x/log(x)
 17 | Line  19 | pow(x,(sqrt(x)))
 18 | Line  20 | exp(x)*Abs(a0)
 19 | Line  23 | x**2*Abs(a0)
 20 | Line  24 | pow(x,log(x))
 21 | Line  26 | a0*x**2
 22 | Line  27 | pow(x,(3/2))
 23 | Line  28 | x - exp(x)
 24 | Line  29 | sqrt(Abs(log(x**2)))
 25 | Line  30 | 1/x
 26 | Line  31 | pow(Abs(a0),(x**2))
 27 | Line  32 | log(Abs(log(Abs(log(x)))))
 28 | Line  33 | a0/log(x)
 29 | Line  34 | log(Abs(a0 - x))
 30 | Line  35 | exp(sqrt(Abs(log(x))))
 31 | Line  36 | exp(x**2/2)
 32 | Line  37 | log(x**2)**2
 33 | Line  38 | exp(pow(x,(1/4)))
 34 | Line  39 | -sqrt(x) + x
 35 | Line  40 | 2*x
 36 | Line  41 | sqrt(Abs(a0 - x))
 37 | Line  42 | log(x)
 38 | Line  43 | -x + log(x)
 39 | Line  44 | a0/x**2
 40 | Line  45 | exp(exp(x)/2)
 41 | Line  46 | pow(x,Abs(a0))
 42 | Line  47 | -x + Abs(a0)
 43 | Line  49 | exp(x)/x
 44 | Line  50 | sqrt(x)
 45 | Line  51 | a0 - x
 46 | Line  52 | x + log(x)
 47 | Line  53 | -x**2 + x
 48 | Line  54 | 4*x**2
 49 | Line  55 | log(2*x)
 50 | Line  57 | sqrt(2)*sqrt(x)
 51 | Line  58 | x**4
 52 | Line  59 | exp(2*x**2)
 53 | Line  60 | log(Abs(log(x**2)))
 54 | Line  61 | a0*exp(-x)
 55 | Line  62 | x/sqrt(Abs(a0))
 56 | Line  63 | x + Abs(a0)
 57 | Line  64 | log(Abs(log(x)))**2
